year,month,date,time,location,indicator,unit,value,latitude,longitude
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,CO,mg/m³,0.3435,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,Ozone,µg/m³,7.35,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,NO,µg/m³,5.3874,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,NO2,µg/m³,45.6088,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,NOx,ppb,28.65,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,NH3,µg/m³,11.277,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,SO2,µg/m³,11.3184,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,PM2.5,µg/m³,18,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,PM10,µg/m³,31,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,Benzene,µg/m³,0.0319,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,Toluene,µg/m³,0.1508,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,Xylene,µg/m³,0,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,AT,°C,24.92,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,RH,%,74.5,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,WS,m/s,3.5,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,WD,°,223,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,SR,W/m²,17,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,BP,mmHg,714,17.540891,78.358528
2019,July,11/7/2019,0:00,BollaIDA Pashamylaram Industrial Area,RF,mm,0,17.540891,78.358528
2019,July,11/7/2019,0:00,Central University,CO,mg/m³,0.33205,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,Ozone,µg/m³,12.936,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,NO,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,NO2,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,NOx,PPB,,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,NH3,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,SO2,µg/m³,2.489,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,PM2.5,µg/m³,6,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,PM10,µg/m³,29,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,Benzene,µg/m³,0.1595,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,Toluene,µg/m³,0.1885,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,Xylene,µg/m³,0,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,AT,°C,24.1,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,RH,%,75.6,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,WS,m/s,2.6,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,WD,°,240,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,SR,W/m²,2,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,BP,mmHg,704,17.460103,78.334361
2019,July,11/7/2019,0:00,Central University,RF,mm,0,17.460103,78.334361
2019,July,11/7/2019,0:00,ICRISAT Patancheru,CO,mg/m³,0.5725,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,Ozone,µg/m³,11.5836,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,NO,µg/m³,0.9963,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,NO2,µg/m³,10.4528,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,NOx,ppb,6.37,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,NH3,µg/m³,3.591,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,SO2,µg/m³,9.2224,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,PM2.5,µg/m³,16,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,PM10,µg/m³,25,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,Benzene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,Toluene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,Xylene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,AT,°C,28.29,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,RH,%,77.22,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,WS,m/s,1.15,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,WD,°,245,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,SR,W/m²,19.87,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,BP,mmHg,726,17.514423,78.274611
2019,July,11/7/2019,0:00,ICRISAT Patancheru,RF,mm,0,17.514423,78.274611
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,CO,mg/m³,0.3664,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Ozone,µg/m³,5.9584,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NO,µg/m³,,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NO2,µg/m³,,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NOx,ppb,,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NH3,µg/m³,,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,SO2,µg/m³,5.7378,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,PM2.5,µg/m³,20,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,PM10,µg/m³,22,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Benzene,µg/m³,0,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Toluene,µg/m³,0,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Xylene,µg/m³,0,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,AT,°C,26.6,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,RH,%,72.3,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,WS,m/s,4,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,WD,°,245,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,SR,W/m²,6,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,BP,mmHg,708,17.527465,78.176807
2019,July,11/7/2019,0:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,RF,mm,0,17.527465,78.176807
2019,July,11/7/2019,0:00,Sanathnagar,CO,mg/m³,0.5267,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,Ozone,µg/m³,1.568,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,NO,µg/m³,4.551,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,NO2,µg/m³,13.348,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,NOx,ppb,10.8,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,SO2,µg/m³,3.93,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,PM2.5,µg/m³,10,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,Benzene,µg/m³,0.2233,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,Toluene,µg/m³,0.7916999,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,Xylene,µg/m³,0,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,AT,°C,25.71,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,RH,%,68.59,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,BP,mmHg,706,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,SR,W/m²,2,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,WD,°,256,17.457121,78.443493
2019,July,11/7/2019,0:00,Sanathnagar,WS,m/s,2.53,17.457121,78.443493
2019,July,11/7/2019,0:00,Zoo Park,CO,mg/m³,0.2061,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,Ozone,µg/m³,29.988,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,NO,µg/m³,0.615,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,NO2,µg/m³,14.852,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,NOx,ppb,8.4,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,NH3,µg/m³,5.39,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,SO2,µg/m³,1.1266,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,PM2.5,µg/m³,16,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,PM10,µg/m³,26,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,Benzene,µg/m³,,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,Toluene,µg/m³,,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,Xylene,µg/m³,,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,AT,°C,27.6,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,RH,%,70.5,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,WS,m/s,1.7,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,WD,°,309,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,SR,W/m²,32,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,BP,mmHg,704,17.349694,78.451437
2019,July,11/7/2019,0:00,Zoo Park,RF,mm,0,17.349694,78.451437
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,CO,mg/m³,0.37785,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,Ozone,µg/m³,8.721999,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,NO,µg/m³,4.9692,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,NO2,µg/m³,47.2068,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,NOx,ppb,29.15,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,NH3,µg/m³,11.564,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,SO2,µg/m³,6.8906,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,PM2.5,µg/m³,21,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,PM10,µg/m³,35,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,Benzene,µg/m³,0.0319,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,Toluene,µg/m³,0.1131,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,Xylene,µg/m³,0,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,AT,°C,25.01,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,RH,%,73.4,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,WS,m/s,4,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,WD,°,227,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,SR,W/m²,17,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,BP,mmHg,713,17.540891,78.358528
2019,July,11/7/2019,1:00,BollaIDA Pashamylaram Industrial Area,RF,mm,0,17.540891,78.358528
2019,July,11/7/2019,1:00,Central University,CO,mg/m³,0.30915,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,Ozone,µg/m³,14.308,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,NO,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,NO2,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,NOx,PPB,,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,NH3,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,SO2,µg/m³,2.9868,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,PM2.5,µg/m³,3,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,PM10,µg/m³,27,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,Benzene,µg/m³,0.0957,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,Toluene,µg/m³,0.1131,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,Xylene,µg/m³,0,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,AT,°C,24.2,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,RH,%,73.1,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,WS,m/s,3.6,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,WD,°,240,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,SR,W/m²,2,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,BP,mmHg,704,17.460103,78.334361
2019,July,11/7/2019,1:00,Central University,RF,mm,0,17.460103,78.334361
2019,July,11/7/2019,1:00,ICRISAT Patancheru,CO,mg/m³,0.5725,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,Ozone,µg/m³,12.9752,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,NO,µg/m³,0.6888,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,NO2,µg/m³,8.478801,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,NOx,ppb,5.06,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,NH3,µg/m³,3.787,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,SO2,µg/m³,10.48,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,PM2.5,µg/m³,16,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,PM10,µg/m³,24,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,Benzene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,Toluene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,Xylene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,AT,°C,28.3,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,RH,%,75.92,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,WS,m/s,1.36,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,WD,°,245,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,SR,W/m²,19.88,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,BP,mmHg,726,17.514423,78.274611
2019,July,11/7/2019,1:00,ICRISAT Patancheru,RF,mm,0,17.514423,78.274611
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,CO,mg/m³,0.3435,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Ozone,µg/m³,6.7228,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NO,µg/m³,,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NO2,µg/m³,,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NOx,ppb,,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,NH3,µg/m³,,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,SO2,µg/m³,4.061,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,PM2.5,µg/m³,18,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,PM10,µg/m³,26,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Benzene,µg/m³,0,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Toluene,µg/m³,0,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,Xylene,µg/m³,0,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,AT,°C,26.6,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,RH,%,71,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,WS,m/s,4.8,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,WD,°,244,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,SR,W/m²,6,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,BP,mmHg,708,17.527465,78.176807
2019,July,11/7/2019,1:00,IDA PashamylaBollaIDA Pashamylaram Industrial Area,RF,mm,0,17.527465,78.176807
2019,July,11/7/2019,1:00,Sanathnagar,CO,mg/m³,0.44655,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,Ozone,µg/m³,2.548,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,NO,µg/m³,2.952,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,NO2,µg/m³,11.092,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,NOx,ppb,8.3,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,SO2,µg/m³,3.406,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,PM2.5,µg/m³,10,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,Benzene,µg/m³,0,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,Toluene,µg/m³,0.4147,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,Xylene,µg/m³,0,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,AT,°C,25.58,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,RH,%,67.61,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,BP,mmHg,705,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,SR,W/m²,2,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,WD,°,264,17.457121,78.443493
2019,July,11/7/2019,1:00,Sanathnagar,WS,m/s,2.79,17.457121,78.443493
2019,July,11/7/2019,1:00,Zoo Park,CO,mg/m³,0.17175,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,Ozone,µg/m³,25.872,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,NO,µg/m³,0.861,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,NO2,µg/m³,14.852,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,NOx,ppb,8.6,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,NH3,µg/m³,5.25,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,SO2,µg/m³,1.2838,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,PM2.5,µg/m³,16,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,PM10,µg/m³,32,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,Benzene,µg/m³,,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,Toluene,µg/m³,,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,Xylene,µg/m³,,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,AT,°C,27.5,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,RH,%,69.9,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,WS,m/s,1.8,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,WD,°,310,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,SR,W/m²,32,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,BP,mmHg,704,17.349694,78.451437
2019,July,11/7/2019,1:00,Zoo Park,RF,mm,0,17.349694,78.451437
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,CO,mg/m³,0.28625,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,Ozone,µg/m³,7.4284,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,NO,µg/m³,5.2398,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,NO2,µg/m³,55.554,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,NOx,ppb,33.81,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,NH3,µg/m³,10.654,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,SO2,µg/m³,4.8732,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,PM2.5,µg/m³,15,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,PM10,µg/m³,38,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,Benzene,µg/m³,0.0319,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,Toluene,µg/m³,0.1508,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,Xylene,µg/m³,0,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,AT,°C,24.92,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,RH,%,72.7,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,WS,m/s,4.4,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,WD,°,229,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,SR,W/m²,17,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,BP,mmHg,713,17.540891,78.358528
2019,July,11/7/2019,2:00,BollaIDA Pashamylaram Industrial Area,RF,mm,0,17.540891,78.358528
2019,July,11/7/2019,2:00,Central University,CO,mg/m³,0.28625,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,Ozone,µg/m³,16.66,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,NO,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,NO2,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,NOx,PPB,,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,NH3,µg/m³,,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,SO2,µg/m³,3.5108,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,PM2.5,µg/m³,6,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,PM10,µg/m³,25,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,Benzene,µg/m³,0,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,Toluene,µg/m³,0,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,Xylene,µg/m³,0,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,AT,°C,24.1,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,RH,%,73.1,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,WS,m/s,3.6,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,WD,°,243,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,SR,W/m²,2,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,BP,mmHg,704,17.460103,78.334361
2019,July,11/7/2019,2:00,Central University,RF,mm,0,17.460103,78.334361
2019,July,11/7/2019,2:00,ICRISAT Patancheru,CO,mg/m³,0.33205,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,Ozone,µg/m³,11.8384,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,NO,µg/m³,0.8118,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,NO2,µg/m³,8.1216,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,NOx,ppb,4.98,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,NH3,µg/m³,3.808,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,SO2,µg/m³,8.515,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,PM2.5,µg/m³,17,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,PM10,µg/m³,33,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,Benzene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,Toluene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,Xylene,µg/m³,0,17.514423,78.274611
2019,July,11/7/2019,2:00,ICRISAT Patancheru,AT,°C,28.19,17.514423,78.274611
